name,part,fmax,lut,registers,bram,dsp,luts_available,utilisation
20xFIR_60xS832,xc7k410tfbg900-1,223.3140,131285,206396,0,1300,254200,51.6463
20xFIR_110xS832,xc7k410tfbg900-1,201.8978,142522,207596,0,1300,254200,56.0669
20xFIR_160xS832,xc7k410tfbg900-1,177.7778,153162,208796,0,1300,254200,60.2526
20xFIR_210xS832,xc7k410tfbg900-1,201.2072,165787,209996,0,1300,254200,65.2191
20xFIR_260xS832,xc7k410tfbg900-1,168.2935,176354,211196,0,1300,254200,69.3761
20xFIR_310xS832,xc7k410tfbg900-1,170.5321,186695,213920,0,1300,254200,73.4441
20xFIR_360xS832,xc7k410tfbg900-1,171.4090,197115,215120,0,1300,254200,77.5433
20xFIR_410xS832,xc7k410tfbg900-1,167.0286,208525,216320,0,1300,254200,82.0319
21xFIR_10xS832,xc7k410tfbg900-1,225.6827,125050,215443,0,1365,254200,49.1935
21xFIR_60xS832,xc7k410tfbg900-1,204.6664,136903,216643,0,1365,254200,53.8564
21xFIR_110xS832,xc7k410tfbg900-1,203.0045,148002,217843,0,1365,254200,58.2227
21xFIR_160xS832,xc7k410tfbg900-1,184.2978,159568,219043,0,1365,254200,62.7726
21xFIR_210xS832,xc7k410tfbg900-1,188.9645,171487,220243,0,1365,254200,67.4614
21xFIR_260xS832,xc7k410tfbg900-1,170.8234,182451,221443,0,1365,254200,71.7746
21xFIR_310xS832,xc7k410tfbg900-1,163.8807,191185,224244,0,1365,254200,75.2105
21xFIR_360xS832,xc7k410tfbg900-1,171.7033,203424,225444,0,1365,254200,80.0252
21xFIR_410xS832,xc7k410tfbg900-1,168.0955,212797,226644,0,1365,254200,83.7124
22xFIR_10xS832,xc7k410tfbg900-1,216.1228,130909,225690,0,1430,254200,51.4984
22xFIR_60xS832,xc7k410tfbg900-1,212.7660,142757,226890,0,1430,254200,56.1593
22xFIR_110xS832,xc7k410tfbg900-1,210.3934,154520,228090,0,1430,254200,60.7868
22xFIR_160xS832,xc7k410tfbg900-1,199.4813,166142,229290,0,1430,254200,65.3588
22xFIR_210xS832,xc7k410tfbg900-1,177.7462,177038,230490,0,1430,254200,69.6452
